['0000000000000000'];9
['0000000000000001'];11
['0000000000000010'];8
['0000000000000011'];9
['0000000000000100'];10
['0000000000000101'];9
['0000000000000110'];10
['0000000000000111'];9
['0000000000001000'];8
['0000000000001001'];9
['0000000000001010'];10
['0000000000001011'];10
['0000000000001100'];10
['0000000000001101'];9
['0000000000001110'];11
['0000000000001111'];9
['0000000000010000'];9
['0000000000010001'];0
['0000000000010010'];0
['0000000000010011'];32
['0000000000010100'];0
['0000000000010101'];16
['0000000000010110'];8
['0000000000010111'];9
['0000000000011000'];15
['0000000000011001'];8
['0000000000011010'];0
['0000000000011011'];16
['0000000000011100'];9
['0000000000011101'];12
['0000000000011110'];10
['0000000000011111'];9
['0000000000100000'];9
['0000000000100001'];10
['0000000000100010'];9
['0000000000100011'];0
['0000000000100100'];22
['0000000000100101'];9
['0000000000100110'];10
['0000000000100111'];0
['0000000000101000'];14
['0000000000101001'];9
['0000000000101010'];9
['0000000000101011'];10
['0000000000101100'];10
['0000000000101101'];9
['0000000000101110'];11
['0000000000101111'];10
['0000000000110000'];11
['0000000000110001'];10
['0000000000110010'];9
['0000000000110011'];8
['0000000000110100'];10
['0000000000110101'];9
['0000000000110110'];9
['0000000000110111'];10
['0000000000111000'];10
['0000000000111001'];9
['0000000000111010'];10
['0000000000111011'];9
['0000000000111100'];9
['0000000000111101'];8
['0000000000111110'];0
['0000000000111111'];16
['0000000001000000'];10
['0000000001000001'];8
['0000000001000010'];9
['0000000001000011'];10
['0000000001000100'];9
['0000000001000101'];9
['0000000001000110'];9
['0000000001000111'];9
['0000000001001000'];10
['0000000001001001'];9
['0000000001001010'];10
['0000000001001011'];10
['0000000001001100'];10
['0000000001001101'];10
['0000000001001110'];9
['0000000001001111'];8
['0000000001010000'];0
['0000000001010001'];0
['0000000001010010'];0
['0000000001010011'];32
['0000000001010100'];15
['0000000001010101'];9
['0000000001010110'];0
['0000000001010111'];0
['0000000001011000'];30
['0000000001011001'];10
['0000000001011010'];0
['0000000001011011'];0
['0000000001011100'];31
['0000000001011101'];10
['0000000001011110'];0
['0000000001011111'];0
['0000000001100000'];25
['0000000001100001'];10
['0000000001100010'];9
['0000000001100011'];0
